PDB,CDB,Oracle_Home,Compartment_Name,CDB_ID,Compartment_ID
PDB_FAKE_5,CDB_FAKE_35,ipp-db-home,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaro3g5sgorzodbwgbvn7kcndfk2jretqvhv4ath7grqla,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_21,CDB_FAKE_36,FU1925_20250214164009209,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iares2yqhdn3zketcklkbrukk62dvtd3a2awxjaimyy2ra,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_27,CDB_FAKE_13,rw_home,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iarwoknlbmd6ul37sp3nk7pqkycngw7fc5eebbrv366s5q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_28,CDB_FAKE_20,dbhome-llopezf,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iams4sf66bwbyggfzay2svqigcgkpm7fnki7cah75o7o2q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_10,dgcDbhome-1922,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia6u7cgsznbe7usiud6aiad2wdi4ynfyq2lqsy23bkz7eq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_29,CDB_FAKE_37,dbhome-jvb1921,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iav22o27td4cuxu7mfrgvsd7qvo53yacm5iyxdcehozqoq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_38,OH_RLAAT_19-22,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iaoikweesb3geuhmynmhieggmiqk5gzz4t32zaud6fzwua,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_5,CDB_FAKE_39,dbhome-llopezf,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iatneg4oceq3cort7xn32gvqaytcym5jtsomxwujx4axzq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_30,CDB_FAKE_13,rw_home,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iarwoknlbmd6ul37sp3nk7pqkycngw7fc5eebbrv366s5q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_31,CDB_FAKE_40,JensHome_19c_001,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52ia62x4tucblh335tacciqc3uyxo7behh2coq3naajdu52a,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_32,CDB_FAKE_41,OraHome58,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iabiqjlzoent4nejlxxaqheittpiizesb5qzn7uy5whpzq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_13,CDB_FAKE_17,au-dbhome-23ai,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iavrclfuof5xwdwnkk2ihxwthxrggmavubx6j2e4rvd6bq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_33,CDB_FAKE_42,rw_home,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iams7hfuftwgfxplttop25kajitsk46ij57mlvboukaf3q,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
PDB_FAKE_34,CDB_FAKE_17,au-dbhome-23ai,CompartmentDemo,ocid1.database.oc1.eu-frankfurt-1.antheljrvwun52iavrclfuof5xwdwnkk2ihxwthxrggmavubx6j2e4rvd6bq,ocid1.compartment.oc1..aaaaaaaaay4x2z23bzlup7o6gmksl5sbhxnc2st5ifq6sg4hxpdulXXXXX
